EUR/GBP,Close,High,Low
09/01/2013,0.8151,0.8162,0.8132
10/01/2013,0.8205,0.8212,0.8145
11/01/2013,0.8271,0.8288,0.8204
14/01/2013,0.8319,0.8325,0.8272
15/01/2013,0.8285,0.8325,0.8265
16/01/2013,0.8303,0.832,0.8267
17/01/2013,0.8355,0.8365,0.83
18/01/2013,0.839,0.8397,0.8354
21/01/2013,0.8413,0.8421,0.8378
22/01/2013,0.8411,0.8441,0.8362
23/01/2013,0.8403,0.842,0.8379
24/01/2013,0.8469,0.8481,0.8391
25/01/2013,0.8514,0.8537,0.8463
28/01/2013,0.8572,0.8586,0.8526
29/01/2013,0.8561,0.8574,0.8526
30/01/2013,0.8582,0.8606,0.8557
31/01/2013,0.856,0.8594,0.8551
01/02/2013,0.8693,0.8717,0.8559
04/02/2013,0.857,0.8703,0.8564
05/02/2013,0.8674,0.8687,0.8554
06/02/2013,0.863,0.8681,0.8613
07/02/2013,0.8531,0.8662,0.8515
08/02/2013,0.8459,0.8534,0.8444
11/02/2013,0.8554,0.8574,0.8446
12/02/2013,0.8591,0.8631,0.854
13/02/2013,0.8653,0.8684,0.8571
14/02/2013,0.8621,0.8666,0.8584
15/02/2013,0.8612,0.8633,0.8575
18/02/2013,0.8631,0.8648,0.8605
19/02/2013,0.868,0.8685,0.8601
20/02/2013,0.8712,0.8764,0.8675
21/02/2013,0.8644,0.8759,0.8627
