"Date","Open","High","Low","Close","a","b"
"16/10/2008",9400.85,9400.85,8458.45,8458.45,8591.07072742666,"ETS(A,N,N)"
"17/10/2008",8579.57,8763.71,8539.51,8693.82,8681.38711708247,"ETS(A,N,N)"
"20/10/2008",8775.24,9038.45,8687.7,9005.59,8961.13852707284,"ETS(A,N,N)"
"21/10/2008",9139.26,9358.51,9135.41,9306.25,9262.26180358803,"ETS(A,N,N)"
"22/10/2008",9198.14,9198.14,8674.69,8674.69,8759.7663654116,"ETS(A,N,N)"
"23/10/2008",8547.79,8547.79,8016.61,8460.98,8491.04862006733,"ETS(A,N,N)"
"24/10/2008",8391.04,8391.04,7647.07,7649.08,7709.27797549125,"ETS(A,N,N)"
"27/10/2008",7568.36,7878.97,7141.27,7162.9,7171.96983133787,"ETS(A,N,N)"
"28/10/2008",7143.34,7626.42,6994.9,7621.92,7601.82154516254,"ETS(A,N,N)"
"29/10/2008",7741.52,8211.9,7741.52,8211.9,8211.49827719575,"ETS(A,N,N)"
"30/10/2008",8269.71,9030.85,8269.71,9029.76,9029.67790352803,"ETS(A,N,N)"
"31/10/2008",8958.22,9012.31,8576.98,8576.98,8577.02535744539,"ETS(A,N,N)"
"04/11/2008",8702.77,9142.29,8699.77,9114.6,9114.54423737321,"ETS(A,N,N)"
"05/11/2008",9224.05,9521.24,9216.3,9521.24,9521.19912435173,"ETS(A,N,N)"
"06/11/2008",9373.65,9380.3,8806.71,8899.14,8900.13024272712,"ETS(A,N,N)"
"07/11/2008",8774.49,8868.1,8266.09,8583,8583.03183833052,"ETS(A,N,N)"
"10/11/2008",8711.99,9106.29,8711.99,9081.43,9081.34486982498,"ETS(A,N,N)"
"11/11/2008",8965.29,9056.31,8704.56,8809.3,8814.0141284499,"ETS(A,N,N)"
"12/11/2008",8694.91,8782.48,8574.2,8695.51,8698.36833480355,"ETS(A,N,N)"
"13/11/2008",8564.47,8564.47,8148.3,8238.64,8243.00779424849,"ETS(A,N,N)"
"14/11/2008",8378.13,8689.85,8378.13,8462.39,8458.11615014445,"ETS(A,N,N)"
"17/11/2008",8366.88,8767.98,8218.82,8522.58,8520.89729994717,"ETS(A,N,N)"
"18/11/2008",8415.6,8440.41,8302.24,8328.41,8336.84045443391,"ETS(A,N,N)"
